essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-pages,Manual pages
network,openssh,Remote login tool for SSH protocol
network,networkmanager,Network manager
tools,rsync,Synchronizing files across computers
tools,arandr,xrandr GUI
tools,xsel,Manipulate the X selection
tools,xclip,CLI to clipboard
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,xcape,Configure modifier keys to act as other keys
tools,ripgrep,Faster alternative to grep
tools,fd,Faster alternative to find
tools,asdf-vm,Manage versions of different languages
tools,lazydocker,Manage Docker container the lazy way
tools,flameshot-git,Screenshot tool
tools,fasd,Productivity booster
tools,redshift,Adjust screen brightness
tools,picom,Compositor for X transparency
tools,unclutter,Hide mouse after a short period of time
tools,polkit,Control system wide privilegies
tools,ncdu,Disk space analyzer
tools,docker,Docker
tools,docker-compose,Docker Compose
tools,tealdeer,tldr implementation in Rust
tmux,tmux,Terminal multiplexer
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version control system
git,git-delta,Human readable git diff
i3,i3-wm,i3 window tile manager
i3,polybar,status bar
i3,i3lock,i3 lock monitor
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,arc-gtk-theme,Desktop themes
i3,xdg-utils,Allow application to interact with desktop
zsh,zsh,Unix shell (Z-Shell)
zsh,zsh-completions,Additional completions for Zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for ZSH
zsh,antibody,ZSH plugin manager
neovim,neovim,Editor... and much more
alacritty,alacritty,GPU accelerated Terminal
work,zoom,Video conferences
work,slack-desktop,Team communication
entertainment,stremio-beta,Freedom to stream
utilities,anki,Spaced repetition tool
utilities,newsboat,RSS feed reader
utilities,zathura,PDF Reader
utilities,zathura-pdf-mupdf,Zathura extension to read PDF
firefox,firefox-developer-edition,Firefox browser
chromium,chromium,Chromium
brave,brave-bin,Brave browser
